Deep layers	Num units	Learning rate	Batch size	Loss	Score	Elapsed time
3	100	0.0001	2	0.030841324478387833	0.030841324478387833	123.0340883731842
3	100	0.0001	2	0.031223993748426437	0.031223993748426437	81.03696751594543
3	100	0.0001	2	0.03183529153466225	0.03183529153466225	111.46222233772278
2	100	0.0001	2	0.03204256668686867	0.03204256296157837	82.97981858253479
3	100	0.0001	2	0.032483212649822235	0.032483212649822235	98.37730979919434
3	100	0.0001	2	0.03262881189584732	0.03262881189584732	110.9114122390747
3	100	0.0001	4	0.032919690012931824	0.032919690012931824	43.51122760772705
3	100	0.0001	2	0.032985247671604156	0.032985247671604156	114.26319289207458
4	100	0.0001	2	0.03348946571350098	0.03348946571350098	127.33589601516724
3	100	0.0001	2	0.03354664891958237	0.03354664891958237	103.73961353302002
4	100	0.0001	2	0.03372141718864441	0.03372141718864441	116.9406373500824
4	100	0.005	8	0.033910177648067474	0.033910177648067474	36.799466609954834
4	100	0.0001	2	0.03417997807264328	0.03417997807264328	88.8336775302887
4	200	0.0001	2	0.034606315195560455	0.034606315195560455	155.7607078552246
2	100	0.005	8	0.03487088903784752	0.03487088903784752	26.088966846466064
3	100	0.0001	8	0.035515766590833664	0.035515766590833664	37.74127912521362
2	100	0.005	8	0.035847753286361694	0.035847753286361694	34.34647178649902
4	100	0.0001	2	0.03589465841650963	0.03589465841650963	125.54430794715881
4	100	0.0001	2	0.03604566678404808	0.03604566678404808	143.89241409301758
2	150	0.005	8	0.036480583250522614	0.036480583250522614	42.31021595001221
2	100	0.0001	4	0.03686495125293732	0.03686495125293732	51.47136473655701
3	200	0.005	8	0.037870142608881	0.037870142608881	35.169960498809814
4	100	0.005	8	0.04030890017747879	0.04030890017747879	36.9145781993866
4	100	0.0001	8	0.04051759093999863	0.04051759093999863	38.00501608848572
2	100	0.005	8	0.040744367986917496	0.040744367986917496	29.388383626937866
2	100	0.0001	8	0.042399290949106216	0.042399290949106216	30.98279094696045
4	100	0.0001	8	0.04245997220277786	0.04245997220277786	33.816094160079956
4	100	0.0001	8	0.04567224159836769	0.04567224159836769	42.35873246192932
4	200	0.005	16	0.045852817595005035	0.045852817595005035	26.988905668258667
4	100	0.005	8	0.04725918918848038	0.04725918918848038	38.629454135894775
2	100	0.005	4	0.04747094213962555	0.04747094213962555	50.02363896369934
1	100	0.005	4	0.052404072135686874	0.052404072135686874	82.9091169834137
4	200	0.005	8	0.05327381193637848	0.05327381193637848	33.645116329193115
2	200	0.0001	16	0.05439792573451996	0.05439792573451996	22.654934644699097
1	50	0.005	16	0.05558229237794876	0.05558229237794876	18.38214921951294
4	100	0.005	8	0.06131839007139206	0.06131839007139206	32.73235821723938
4	200	0.005	16	0.06411904096603394	0.06411903351545334	27.32562518119812
4	100	0.005	2	0.07260759174823761	0.07260759174823761	144.10399508476257
1	100	0.0001	4	0.07345125079154968	0.07345125079154968	82.89852976799011
4	100	0.005	2	0.07692468911409378	0.07692468911409378	144.52521300315857
1	150	0.0001	4	0.07738659530878067	0.07738659530878067	52.16757130622864
4	100	0.005	8	0.08514068275690079	0.08514068275690079	36.20797872543335
1	100	0.0001	4	0.108644999563694	0.108644999563694	47.09495830535889
3	100	0.005	2	0.16367366909980774	0.16367366909980774	112.53365588188171
1	100	0.0001	16	1.0642366409301758	1.0642366409301758	19.402764320373535
