Deep layers	Num units	Learning rate	Batch size	Loss	Accuracy	Elapsed time
3	200	0.001	256	0.32186707854270935	0.8835999965667725	35.95262026786804
4	100	0.01	256	0.3247426152229309	0.8834999799728394	32.28601288795471
4	100	0.01	256	0.33072927594184875	0.883400022983551	31.549854516983032
3	200	0.001	256	0.31610992550849915	0.883400022983551	37.066906213760376
4	100	0.01	256	0.320608526468277	0.8820000290870667	31.07162356376648
4	100	0.01	256	0.33103182911872864	0.8815000057220459	31.93661594390869
4	100	0.01	256	0.32320284843444824	0.8813999891281128	30.701828241348267
3	100	0.01	128	0.3248778283596039	0.8809999823570251	44.266276359558105
3	200	0.001	256	0.32956069707870483	0.8806999921798706	36.27057695388794
4	100	0.01	256	0.32893431186676025	0.8805999755859375	31.226248025894165
3	200	0.001	256	0.32720378041267395	0.8804000020027161	36.381836891174316
3	200	0.001	256	0.3242018222808838	0.8804000020027161	36.38557004928589
3	200	0.001	256	0.33580926060676575	0.8801000118255615	37.35611033439636
4	200	0.001	256	0.32744425535202026	0.8801000118255615	43.67160081863403
4	100	0.01	128	0.32947850227355957	0.8801000118255615	48.08710741996765
4	200	0.01	128	0.3386189043521881	0.8801000118255615	65.18973326683044
4	100	0.01	256	0.32361429929733276	0.8799999952316284	31.920700788497925
3	200	0.001	256	0.33375421166419983	0.8795999884605408	36.635587215423584
3	200	0.001	256	0.33259090781211853	0.8795999884605408	36.97207951545715
4	100	0.01	256	0.32397186756134033	0.8794000148773193	30.919562578201294
3	200	0.001	256	0.3262994587421417	0.8794000148773193	35.4190948009491
4	100	0.01	256	0.3409777879714966	0.8791000247001648	30.91136407852173
3	200	0.01	256	0.33042463660240173	0.8791000247001648	35.234272718429565
3	200	0.001	256	0.32675907015800476	0.8791000247001648	36.01067614555359
3	100	0.001	256	0.32872048020362854	0.8790000081062317	27.052422523498535
3	200	0.01	256	0.33258023858070374	0.878000020980835	36.41144800186157
4	200	0.01	256	0.33449873328208923	0.8772000074386597	43.750598192214966
4	100	0.01	128	0.3410733640193939	0.8766000270843506	48.32681107521057
4	100	0.01	256	0.3231174647808075	0.8762999773025513	31.17573070526123
4	100	0.01	256	0.34043827652931213	0.8761000037193298	31.271491289138794
4	100	0.01	256	0.33851873874664307	0.8758000135421753	32.38931727409363
3	100	0.01	128	0.3389541208744049	0.8751999735832214	43.55867099761963
3	100	0.001	128	0.3390098512172699	0.8723999857902527	45.78027009963989
4	200	0.01	128	0.34386032819747925	0.8723999857902527	65.18518829345703
4	100	0.01	256	0.34304240345954895	0.8716999888420105	32.61546206474304
4	100	0.01	256	0.3387596905231476	0.8708999752998352	31.356168746948242
4	200	0.01	256	0.35354912281036377	0.8707000017166138	43.42190670967102
4	100	0.01	256	0.36104854941368103	0.8675000071525574	30.97727108001709
4	100	0.0001	128	0.36866360902786255	0.8672999739646912	47.82185673713684
4	100	0.01	256	0.3610110282897949	0.8672000169754028	30.809590578079224
4	200	0.0001	256	0.3622845709323883	0.8666999936103821	43.220914125442505
4	100	0.0001	128	0.36631736159324646	0.8662999868392944	49.027743101119995
4	100	0.01	256	0.3672838807106018	0.864300012588501	31.548205614089966
4	100	0.01	256	0.378244012594223	0.8637999892234802	30.838213682174683
3	100	0.01	128	0.3749050796031952	0.8603000044822693	43.417075395584106
4	100	0.01	128	0.37428030371665955	0.8598999977111816	49.384833574295044
4	100	0.0001	256	0.387742817401886	0.8580999970436096	31.19171714782715
3	100	0.0001	128	0.38413622975349426	0.8564000129699707	42.97129797935486
4	200	1e-05	256	0.5108606219291687	0.805400013923645	42.45824074745178
